fetched_at,date,home_team_id,away_team_id,odds_home,odds_draw,odds_away
2026-07-04T20:33:14+00:00,2026-07-04,PAR,FRA,23.98,7.4,1.23
2026-07-04T20:33:14+00:00,2026-07-05,BRA,NOR,1.9,3.85,4.9
2026-07-04T20:33:14+00:00,2026-07-06,MEX,ENG,3.35,3.35,2.56
2026-07-04T20:33:14+00:00,2026-07-06,POR,ESP,4.4,3.8,1.99
2026-07-04T20:33:14+00:00,2026-07-07,ARG,EGY,1.4,5.2,11.5
2026-07-04T20:33:14+00:00,2026-07-07,SUI,COL,3.75,3.35,2.34
2026-07-04T20:33:14+00:00,2026-07-07,USA,BEL,2.86,3.55,2.74
2026-07-05T08:52:10+00:00,2026-07-05,BRA,NOR,1.87,3.9,5.0
2026-07-05T08:52:10+00:00,2026-07-06,MEX,ENG,3.35,3.3,2.56
2026-07-05T08:52:10+00:00,2026-07-06,POR,ESP,4.4,3.8,1.98
2026-07-05T08:52:10+00:00,2026-07-07,ARG,EGY,1.41,5.3,11.49
2026-07-05T08:52:10+00:00,2026-07-07,SUI,COL,3.85,3.25,2.34
2026-07-05T08:52:10+00:00,2026-07-07,USA,BEL,2.84,3.55,2.78
2026-07-05T08:52:10+00:00,2026-07-09,FRA,MAR,1.62,4.2,7.6
2026-07-05T19:58:49+00:00,2026-07-05,BRA,NOR,1.82,3.9,5.4
2026-07-05T19:58:49+00:00,2026-07-06,MEX,ENG,3.2,3.25,2.7
2026-07-05T19:58:49+00:00,2026-07-06,POR,ESP,4.4,3.8,1.99
2026-07-05T19:58:49+00:00,2026-07-07,ARG,EGY,1.41,5.1,11.5
2026-07-05T19:58:49+00:00,2026-07-07,SUI,COL,3.75,3.25,2.4
2026-07-05T19:58:49+00:00,2026-07-07,USA,BEL,2.84,3.55,2.78
2026-07-05T19:58:49+00:00,2026-07-09,FRA,MAR,1.63,4.1,7.4
2026-07-06T10:19:36+00:00,2026-07-06,POR,ESP,4.6,3.8,1.98
2026-07-06T10:19:36+00:00,2026-07-07,ARG,EGY,1.42,5.1,11.0
2026-07-06T10:19:36+00:00,2026-07-07,SUI,COL,3.7,3.2,2.42
2026-07-06T10:19:36+00:00,2026-07-07,USA,BEL,2.64,3.6,2.98
2026-07-06T10:19:36+00:00,2026-07-09,FRA,MAR,1.62,4.2,7.2
2026-07-06T10:19:36+00:00,2026-07-11,NOR,ENG,4.6,3.75,1.97
2026-07-06T23:42:25+00:00,2026-07-07,ARG,EGY,1.41,5.2,12.5
2026-07-06T23:42:25+00:00,2026-07-07,SUI,COL,3.8,3.25,2.38
2026-07-06T23:42:25+00:00,2026-07-07,USA,BEL,2.72,3.35,3.1
2026-07-06T23:42:25+00:00,2026-07-09,FRA,MAR,1.63,4.2,7.2
2026-07-06T23:42:25+00:00,2026-07-11,NOR,ENG,4.5,3.8,1.96
2026-07-07T09:39:52+00:00,2026-07-07,ARG,EGY,1.39,5.25,13.0
2026-07-07T09:39:52+00:00,2026-07-07,SUI,COL,3.8,3.25,2.36
2026-07-07T09:39:52+00:00,2026-07-09,FRA,MAR,1.63,4.2,7.2
2026-07-07T09:39:52+00:00,2026-07-10,ESP,BEL,1.67,4.3,6.2
2026-07-07T09:39:52+00:00,2026-07-11,NOR,ENG,4.4,3.9,1.97
2026-07-08T08:26:35+00:00,2026-07-09,FRA,MAR,1.63,4.2,7.2
2026-07-08T08:26:35+00:00,2026-07-10,ESP,BEL,1.69,4.2,6.2
2026-07-08T08:26:35+00:00,2026-07-11,NOR,ENG,4.7,3.9,1.93
2026-07-08T08:26:35+00:00,2026-07-12,ARG,SUI,1.76,3.75,6.4
2026-07-09T09:38:05+00:00,2026-07-09,FRA,MAR,1.64,4.1,7.4
2026-07-09T09:38:05+00:00,2026-07-10,ESP,BEL,1.7,4.1,6.2
2026-07-09T09:38:05+00:00,2026-07-11,NOR,ENG,4.6,3.9,1.92
2026-07-09T09:38:05+00:00,2026-07-12,ARG,SUI,1.76,3.75,6.4
2026-07-10T09:34:03+00:00,2026-07-10,ESP,BEL,1.69,4.2,6.2
2026-07-10T09:34:03+00:00,2026-07-11,NOR,ENG,4.5,3.85,1.95
2026-07-10T09:34:03+00:00,2026-07-12,ARG,SUI,1.75,3.75,6.6
2026-07-10T18:39:43+00:00,2026-07-10,ESP,BEL,1.72,4.1,6.0
2026-07-10T18:39:43+00:00,2026-07-11,NOR,ENG,4.4,3.9,1.94
2026-07-10T18:39:43+00:00,2026-07-12,ARG,SUI,1.75,3.75,6.6
2026-07-11T07:54:47+00:00,2026-07-11,NOR,ENG,4.2,3.9,2.02
