seq,date,home_team_id,away_team_id,team_id,elo
6,2026-06-13,USA,PAR,ALG,1790.0
6,2026-06-13,USA,PAR,ARG,2115.0
6,2026-06-13,USA,PAR,AUS,1768.0
6,2026-06-13,USA,PAR,AUT,1820.0
6,2026-06-13,USA,PAR,BEL,1925.0
6,2026-06-13,USA,PAR,BIH,1783.6
6,2026-06-13,USA,PAR,BRA,1973.5
6,2026-06-13,USA,PAR,CAN,1784.4
6,2026-06-13,USA,PAR,CIV,1798.0
6,2026-06-13,USA,PAR,COD,1785.0
6,2026-06-13,USA,PAR,COL,1888.0
6,2026-06-13,USA,PAR,CPV,1660.0
6,2026-06-13,USA,PAR,CRO,1900.0
6,2026-06-13,USA,PAR,CUW,1400.0
6,2026-06-13,USA,PAR,CZE,1791.5
6,2026-06-13,USA,PAR,ECU,1825.0
6,2026-06-13,USA,PAR,EGY,1808.0
6,2026-06-13,USA,PAR,ENG,2024.0
6,2026-06-13,USA,PAR,ESP,2129.0
6,2026-06-13,USA,PAR,FRA,2063.0
6,2026-06-13,USA,PAR,GER,1958.0
6,2026-06-13,USA,PAR,GHA,1758.0
6,2026-06-13,USA,PAR,HAI,1520.0
6,2026-06-13,USA,PAR,IRN,1820.0
6,2026-06-13,USA,PAR,IRQ,1580.0
6,2026-06-13,USA,PAR,JOR,1730.0
6,2026-06-13,USA,PAR,JPN,1850.0
6,2026-06-13,USA,PAR,KOR,1825.5
6,2026-06-13,USA,PAR,MAR,1902.5
6,2026-06-13,USA,PAR,MEX,1819.8
6,2026-06-13,USA,PAR,NED,1975.0
6,2026-06-13,USA,PAR,NOR,1855.0
6,2026-06-13,USA,PAR,NZL,1600.0
6,2026-06-13,USA,PAR,PAN,1735.0
6,2026-06-13,USA,PAR,PAR,1772.1
6,2026-06-13,USA,PAR,POR,1989.0
6,2026-06-13,USA,PAR,QAT,1725.6
6,2026-06-13,USA,PAR,RSA,1725.2
6,2026-06-13,USA,PAR,SAU,1702.0
6,2026-06-13,USA,PAR,SCO,1815.0
6,2026-06-13,USA,PAR,SEN,1840.0
6,2026-06-13,USA,PAR,SUI,1850.4
6,2026-06-13,USA,PAR,SWE,1818.0
6,2026-06-13,USA,PAR,TUN,1762.0
6,2026-06-13,USA,PAR,TUR,1845.0
6,2026-06-13,USA,PAR,URU,1895.0
6,2026-06-13,USA,PAR,USA,1835.9
6,2026-06-13,USA,PAR,UZB,1748.0
7,2026-06-14,AUS,TUR,ALG,1790.0
7,2026-06-14,AUS,TUR,ARG,2115.0
7,2026-06-14,AUS,TUR,AUS,1805.9
7,2026-06-14,AUS,TUR,AUT,1820.0
7,2026-06-14,AUS,TUR,BEL,1925.0
7,2026-06-14,AUS,TUR,BIH,1783.6
7,2026-06-14,AUS,TUR,BRA,1973.5
7,2026-06-14,AUS,TUR,CAN,1784.4
7,2026-06-14,AUS,TUR,CIV,1798.0
7,2026-06-14,AUS,TUR,COD,1785.0
7,2026-06-14,AUS,TUR,COL,1888.0
7,2026-06-14,AUS,TUR,CPV,1660.0
7,2026-06-14,AUS,TUR,CRO,1900.0
7,2026-06-14,AUS,TUR,CUW,1400.0
7,2026-06-14,AUS,TUR,CZE,1791.5
7,2026-06-14,AUS,TUR,ECU,1825.0
7,2026-06-14,AUS,TUR,EGY,1808.0
7,2026-06-14,AUS,TUR,ENG,2024.0
7,2026-06-14,AUS,TUR,ESP,2129.0
7,2026-06-14,AUS,TUR,FRA,2063.0
7,2026-06-14,AUS,TUR,GER,1958.0
7,2026-06-14,AUS,TUR,GHA,1758.0
7,2026-06-14,AUS,TUR,HAI,1520.0
7,2026-06-14,AUS,TUR,IRN,1820.0
7,2026-06-14,AUS,TUR,IRQ,1580.0
7,2026-06-14,AUS,TUR,JOR,1730.0
7,2026-06-14,AUS,TUR,JPN,1850.0
7,2026-06-14,AUS,TUR,KOR,1825.5
7,2026-06-14,AUS,TUR,MAR,1902.5
7,2026-06-14,AUS,TUR,MEX,1819.8
7,2026-06-14,AUS,TUR,NED,1975.0
7,2026-06-14,AUS,TUR,NOR,1855.0
7,2026-06-14,AUS,TUR,NZL,1600.0
7,2026-06-14,AUS,TUR,PAN,1735.0
7,2026-06-14,AUS,TUR,PAR,1772.1
7,2026-06-14,AUS,TUR,POR,1989.0
7,2026-06-14,AUS,TUR,QAT,1725.6
7,2026-06-14,AUS,TUR,RSA,1725.2
7,2026-06-14,AUS,TUR,SAU,1702.0
7,2026-06-14,AUS,TUR,SCO,1815.0
7,2026-06-14,AUS,TUR,SEN,1840.0
7,2026-06-14,AUS,TUR,SUI,1850.4
7,2026-06-14,AUS,TUR,SWE,1818.0
7,2026-06-14,AUS,TUR,TUN,1762.0
7,2026-06-14,AUS,TUR,TUR,1807.1
7,2026-06-14,AUS,TUR,URU,1895.0
7,2026-06-14,AUS,TUR,USA,1835.9
7,2026-06-14,AUS,TUR,UZB,1748.0
8,2026-06-14,CIV,ECU,ALG,1790.0
8,2026-06-14,CIV,ECU,ARG,2115.0
8,2026-06-14,CIV,ECU,AUS,1805.9
8,2026-06-14,CIV,ECU,AUT,1820.0
8,2026-06-14,CIV,ECU,BEL,1925.0
8,2026-06-14,CIV,ECU,BIH,1783.6
8,2026-06-14,CIV,ECU,BRA,1973.5
8,2026-06-14,CIV,ECU,CAN,1784.4
8,2026-06-14,CIV,ECU,CIV,1819.8
8,2026-06-14,CIV,ECU,COD,1785.0
8,2026-06-14,CIV,ECU,COL,1888.0
8,2026-06-14,CIV,ECU,CPV,1660.0
8,2026-06-14,CIV,ECU,CRO,1900.0
8,2026-06-14,CIV,ECU,CUW,1400.0
8,2026-06-14,CIV,ECU,CZE,1791.5
8,2026-06-14,CIV,ECU,ECU,1803.2
8,2026-06-14,CIV,ECU,EGY,1808.0
8,2026-06-14,CIV,ECU,ENG,2024.0
8,2026-06-14,CIV,ECU,ESP,2129.0
8,2026-06-14,CIV,ECU,FRA,2063.0
8,2026-06-14,CIV,ECU,GER,1958.0
8,2026-06-14,CIV,ECU,GHA,1758.0
8,2026-06-14,CIV,ECU,HAI,1520.0
8,2026-06-14,CIV,ECU,IRN,1820.0
8,2026-06-14,CIV,ECU,IRQ,1580.0
8,2026-06-14,CIV,ECU,JOR,1730.0
8,2026-06-14,CIV,ECU,JPN,1850.0
8,2026-06-14,CIV,ECU,KOR,1825.5
8,2026-06-14,CIV,ECU,MAR,1902.5
8,2026-06-14,CIV,ECU,MEX,1819.8
8,2026-06-14,CIV,ECU,NED,1975.0
8,2026-06-14,CIV,ECU,NOR,1855.0
8,2026-06-14,CIV,ECU,NZL,1600.0
8,2026-06-14,CIV,ECU,PAN,1735.0
8,2026-06-14,CIV,ECU,PAR,1772.1
8,2026-06-14,CIV,ECU,POR,1989.0
8,2026-06-14,CIV,ECU,QAT,1725.6
8,2026-06-14,CIV,ECU,RSA,1725.2
8,2026-06-14,CIV,ECU,SAU,1702.0
8,2026-06-14,CIV,ECU,SCO,1815.0
8,2026-06-14,CIV,ECU,SEN,1840.0
8,2026-06-14,CIV,ECU,SUI,1850.4
8,2026-06-14,CIV,ECU,SWE,1818.0
8,2026-06-14,CIV,ECU,TUN,1762.0
8,2026-06-14,CIV,ECU,TUR,1807.1
8,2026-06-14,CIV,ECU,URU,1895.0
8,2026-06-14,CIV,ECU,USA,1835.9
8,2026-06-14,CIV,ECU,UZB,1748.0
9,2026-06-14,GER,CUW,ALG,1790.0
9,2026-06-14,GER,CUW,ARG,2115.0
9,2026-06-14,GER,CUW,AUS,1805.9
9,2026-06-14,GER,CUW,AUT,1820.0
9,2026-06-14,GER,CUW,BEL,1925.0
9,2026-06-14,GER,CUW,BIH,1783.6
9,2026-06-14,GER,CUW,BRA,1973.5
9,2026-06-14,GER,CUW,CAN,1784.4
9,2026-06-14,GER,CUW,CIV,1819.8
9,2026-06-14,GER,CUW,COD,1785.0
9,2026-06-14,GER,CUW,COL,1888.0
9,2026-06-14,GER,CUW,CPV,1660.0
9,2026-06-14,GER,CUW,CRO,1900.0
9,2026-06-14,GER,CUW,CUW,1397.4
9,2026-06-14,GER,CUW,CZE,1791.5
9,2026-06-14,GER,CUW,ECU,1803.2
9,2026-06-14,GER,CUW,EGY,1808.0
9,2026-06-14,GER,CUW,ENG,2024.0
9,2026-06-14,GER,CUW,ESP,2129.0
9,2026-06-14,GER,CUW,FRA,2063.0
9,2026-06-14,GER,CUW,GER,1960.6
9,2026-06-14,GER,CUW,GHA,1758.0
9,2026-06-14,GER,CUW,HAI,1520.0
9,2026-06-14,GER,CUW,IRN,1820.0
9,2026-06-14,GER,CUW,IRQ,1580.0
9,2026-06-14,GER,CUW,JOR,1730.0
9,2026-06-14,GER,CUW,JPN,1850.0
9,2026-06-14,GER,CUW,KOR,1825.5
9,2026-06-14,GER,CUW,MAR,1902.5
9,2026-06-14,GER,CUW,MEX,1819.8
9,2026-06-14,GER,CUW,NED,1975.0
9,2026-06-14,GER,CUW,NOR,1855.0
9,2026-06-14,GER,CUW,NZL,1600.0
9,2026-06-14,GER,CUW,PAN,1735.0
9,2026-06-14,GER,CUW,PAR,1772.1
9,2026-06-14,GER,CUW,POR,1989.0
9,2026-06-14,GER,CUW,QAT,1725.6
9,2026-06-14,GER,CUW,RSA,1725.2
9,2026-06-14,GER,CUW,SAU,1702.0
9,2026-06-14,GER,CUW,SCO,1815.0
9,2026-06-14,GER,CUW,SEN,1840.0
9,2026-06-14,GER,CUW,SUI,1850.4
9,2026-06-14,GER,CUW,SWE,1818.0
9,2026-06-14,GER,CUW,TUN,1762.0
9,2026-06-14,GER,CUW,TUR,1807.1
9,2026-06-14,GER,CUW,URU,1895.0
9,2026-06-14,GER,CUW,USA,1835.9
